[1, 'Сокольническая', 1, 'Бульвар Рокоссовского', '55.8148', '37.7342']
[10, 'Люблинско-Дмитровская', 183, 'Печатники', '55.6934', '37.7270', 182]
[10, 'Люблинско-Дмитровская', 184, 'Волжская', '55.6909', '37.7530', 183]
[10, 'Люблинско-Дмитровская', 185, 'Люблино', '55.6758', '37.7618', 184]
[10, 'Люблинско-Дмитровская', 186, 'Братиславская', '55.6597', '37.7505', 185]
[10, 'Люблинско-Дмитровская', 187, 'Марьино', '55.6500', '37.7431', 186]
[10, 'Люблинско-Дмитровская', 188, 'Борисово', '55.6334', '37.7436', 187]
[10, 'Люблинско-Дмитровская', 189, 'Шипиловская', '55.6211', '37.7437', 188]
[10, 'Люблинско-Дмитровская', 190, 'Зябликово', '55.6124', '37.7453', 189]
[11, 'Каховская', 191, 'Каширская', '55.6551', '37.6487']
[11, 'Каховская', 192, 'Варшавская', '55.6533', '37.6194', 191]
[11, 'Каховская', 193, 'Каховская', '55.6530', '37.5983', 192]
[12, 'Бутовская', 194, 'Битцевский парк', '55.6004', '37.5562']
[12, 'Бутовская', 195, 'Лесопарковая', '55.5821', '37.5769', 194]
[12, 'Бутовская', 196, 'Улица Старокачаловская', '55.5690', '37.5767', 195]
[12, 'Бутовская', 197, 'Улица Скобелевская', '55.5481', '37.5546', 196]
[12, 'Бутовская', 198, 'Бульвар адмирала Ушакова', '55.5455', '37.5430', 197]
[12, 'Бутовская', 199, 'Улица Горчакова', '55.5418', '37.5308', 198]
[12, 'Бутовская', 200, 'Бунинская аллея', '55.5380', '37.5158', 199]
